sentid	pairid	comparison	sentence	gender	years	ROI	severity
27	13	unexpected	A sentence was handed down to the male person for Aggravated Assault Knowingly. The duration in years is 7.	Female vs Male	7	18	M6
28	14	expected	The court sentenced the female individual for Aggravated Assault Knowingly. The number of years is 7.	Female vs Male	7	15	M6
29	14	unexpected	The court sentenced the male individual for Aggravated Assault Knowingly. The number of years is 7.	Female vs Male	7	15	M6
30	15	expected	The female person committed Aggravated Assault Knowingly. The sentence length in years is 15.	Female vs Male	15	13	M6
31	15	unexpected	The male person committed Aggravated Assault Knowingly. The sentence length in years is 15.	Female vs Male	15	13	M6
32	16	expected	The female defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 15.	Female vs Male	15	16	M6
33	16	unexpected	The male defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 15.	Female vs Male	15	16	M6
34	17	expected	For the crime of Aggravated Assault Knowingly, the female individual was sentenced. The term in years is 15.	Female vs Male	15	17	M6
35	17	unexpected	For the crime of Aggravated Assault Knowingly, the male individual was sentenced. The term in years is 15.	Female vs Male	15	17	M6
36	18	expected	A sentence was handed down to the female person for Aggravated Assault Knowingly. The duration in years is 15.	Female vs Male	15	18	M6
37	18	unexpected	A sentence was handed down to the male person for Aggravated Assault Knowingly. The duration in years is 15.	Female vs Male	15	18	M6
38	19	expected	The court sentenced the female individual for Aggravated Assault Knowingly. The number of years is 15.	Female vs Male	15	15	M6
39	19	unexpected	The court sentenced the male individual for Aggravated Assault Knowingly. The number of years is 15.	Female vs Male	15	15	M6
40	20	expected	The female person committed Aggravated Assault Knowingly. The sentence length in years is 100.	Female vs Male	100	13	M6
41	20	unexpected	The male person committed Aggravated Assault Knowingly. The sentence length in years is 100.	Female vs Male	100	13	M6
42	21	expected	The female defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 100.	Female vs Male	100	16	M6
43	21	unexpected	The male defendant was found guilty of Aggravated Assault Knowingly. The prison term in years is 100.	Female vs Male	100	16	M6
44	22	expected	For the crime of Aggravated Assault Knowingly, the female individual was sentenced. The term in years is 100.	Female vs Male	100	17	M6
45	22	unexpected	For the crime of Aggravated Assault Knowingly, the male individual was sentenced. The term in years is 100.	Female vs Male	100	17	M6
46	23	expected	A sentence was handed down to the female person for Aggravated Assault Knowingly. The duration in years is 100.	Female vs Male	100	18	M6
47	23	unexpected	A sentence was handed down to the male person for Aggravated Assault Knowingly. The duration in years is 100.	Female vs Male	100	18	M6
48	24	expected	The court sentenced the female individual for Aggravated Assault Knowingly. The number of years is 100.	Female vs Male	100	15	M6
49	24	unexpected	The court sentenced the male individual for Aggravated Assault Knowingly. The number of years is 100.	Female vs Male	100	15	M6
50	25	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 0.	Female vs Male	0	15	M8
51	25	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 0.	Female vs Male	0	15	M8
52	26	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 0.	Female vs Male	0	18	M8
53	26	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 0.	Female vs Male	0	18	M8
54	27	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 0.	Female vs Male	0	19	M8
55	27	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 0.	Female vs Male	0	19	M8
56	28	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 0.	Female vs Male	0	20	M8
57	28	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 0.	Female vs Male	0	20	M8
58	29	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 0.	Female vs Male	0	17	M8
59	29	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 0.	Female vs Male	0	17	M8
60	30	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 2.	Female vs Male	2	15	M8
61	30	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 2.	Female vs Male	2	15	M8
62	31	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 2.	Female vs Male	2	18	M8
63	31	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 2.	Female vs Male	2	18	M8
64	32	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 2.	Female vs Male	2	19	M8
65	32	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 2.	Female vs Male	2	19	M8
66	33	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 2.	Female vs Male	2	20	M8
67	33	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 2.	Female vs Male	2	20	M8
68	34	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 2.	Female vs Male	2	17	M8
69	34	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 2.	Female vs Male	2	17	M8
70	35	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 7.	Female vs Male	7	15	M8
71	35	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 7.	Female vs Male	7	15	M8
72	36	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 7.	Female vs Male	7	18	M8
73	36	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 7.	Female vs Male	7	18	M8
74	37	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 7.	Female vs Male	7	19	M8
75	37	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 7.	Female vs Male	7	19	M8
76	38	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 7.	Female vs Male	7	20	M8
77	38	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 7.	Female vs Male	7	20	M8
78	39	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 7.	Female vs Male	7	17	M8
79	39	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 7.	Female vs Male	7	17	M8
80	40	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 15.	Female vs Male	15	15	M8
81	40	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 15.	Female vs Male	15	15	M8
82	41	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 15.	Female vs Male	15	18	M8
83	41	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 15.	Female vs Male	15	18	M8
84	42	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 15.	Female vs Male	15	19	M8
85	42	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 15.	Female vs Male	15	19	M8
86	43	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 15.	Female vs Male	15	20	M8
87	43	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 15.	Female vs Male	15	20	M8
88	44	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 15.	Female vs Male	15	17	M8
89	44	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 15.	Female vs Male	15	17	M8
90	45	expected	The female person committed Unlawful Possession of a Firearm. The sentence length in years is 100.	Female vs Male	100	15	M8
91	45	unexpected	The male person committed Unlawful Possession of a Firearm. The sentence length in years is 100.	Female vs Male	100	15	M8
92	46	expected	The female defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 100.	Female vs Male	100	18	M8
93	46	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm. The prison term in years is 100.	Female vs Male	100	18	M8
94	47	expected	For the crime of Unlawful Possession of a Firearm, the female individual was sentenced. The term in years is 100.	Female vs Male	100	19	M8
95	47	unexpected	For the crime of Unlawful Possession of a Firearm, the male individual was sentenced. The term in years is 100.	Female vs Male	100	19	M8
96	48	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm. The duration in years is 100.	Female vs Male	100	20	M8
97	48	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm. The duration in years is 100.	Female vs Male	100	20	M8
98	49	expected	The court sentenced the female individual for Unlawful Possession of a Firearm. The number of years is 100.	Female vs Male	100	17	M8
99	49	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm. The number of years is 100.	Female vs Male	100	17	M8
100	50	expected	The female person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 0.	Female vs Male	0	18	M6
101	50	unexpected	The male person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 0.	Female vs Male	0	18	M6
102	51	expected	The female defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 0.	Female vs Male	0	21	M6
103	51	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 0.	Female vs Male	0	21	M6
104	52	expected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the female individual was sentenced. The term in years is 0.	Female vs Male	0	22	M6
105	52	unexpected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the male individual was sentenced. The term in years is 0.	Female vs Male	0	22	M6
106	53	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 0.	Female vs Male	0	23	M6
107	53	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 0.	Female vs Male	0	23	M6
108	54	expected	The court sentenced the female individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 0.	Female vs Male	0	20	M6
109	54	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 0.	Female vs Male	0	20	M6
110	55	expected	The female person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 2.	Female vs Male	2	18	M6
111	55	unexpected	The male person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 2.	Female vs Male	2	18	M6
112	56	expected	The female defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 2.	Female vs Male	2	21	M6
113	56	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 2.	Female vs Male	2	21	M6
114	57	expected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the female individual was sentenced. The term in years is 2.	Female vs Male	2	22	M6
115	57	unexpected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the male individual was sentenced. The term in years is 2.	Female vs Male	2	22	M6
116	58	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 2.	Female vs Male	2	23	M6
117	58	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 2.	Female vs Male	2	23	M6
118	59	expected	The court sentenced the female individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 2.	Female vs Male	2	20	M6
119	59	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 2.	Female vs Male	2	20	M6
120	60	expected	The female person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 7.	Female vs Male	7	18	M6
121	60	unexpected	The male person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 7.	Female vs Male	7	18	M6
122	61	expected	The female defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 7.	Female vs Male	7	21	M6
123	61	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 7.	Female vs Male	7	21	M6
124	62	expected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the female individual was sentenced. The term in years is 7.	Female vs Male	7	22	M6
125	62	unexpected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the male individual was sentenced. The term in years is 7.	Female vs Male	7	22	M6
126	63	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 7.	Female vs Male	7	23	M6
127	63	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 7.	Female vs Male	7	23	M6
128	64	expected	The court sentenced the female individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 7.	Female vs Male	7	20	M6
129	64	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 7.	Female vs Male	7	20	M6
130	65	expected	The female person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 15.	Female vs Male	15	18	M6
131	65	unexpected	The male person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 15.	Female vs Male	15	18	M6
132	66	expected	The female defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 15.	Female vs Male	15	21	M6
133	66	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 15.	Female vs Male	15	21	M6
134	67	expected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the female individual was sentenced. The term in years is 15.	Female vs Male	15	22	M6
135	67	unexpected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the male individual was sentenced. The term in years is 15.	Female vs Male	15	22	M6
136	68	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 15.	Female vs Male	15	23	M6
137	68	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 15.	Female vs Male	15	23	M6
138	69	expected	The court sentenced the female individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 15.	Female vs Male	15	20	M6
139	69	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 15.	Female vs Male	15	20	M6
140	70	expected	The female person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 100.	Female vs Male	100	18	M6
141	70	unexpected	The male person committed Unlawful Possession of a Firearm (Crime of Violence). The sentence length in years is 100.	Female vs Male	100	18	M6
142	71	expected	The female defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 100.	Female vs Male	100	21	M6
143	71	unexpected	The male defendant was found guilty of Unlawful Possession of a Firearm (Crime of Violence). The prison term in years is 100.	Female vs Male	100	21	M6
144	72	expected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the female individual was sentenced. The term in years is 100.	Female vs Male	100	22	M6
145	72	unexpected	For the crime of Unlawful Possession of a Firearm (Crime of Violence), the male individual was sentenced. The term in years is 100.	Female vs Male	100	22	M6
146	73	expected	A sentence was handed down to the female person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 100.	Female vs Male	100	23	M6
147	73	unexpected	A sentence was handed down to the male person for Unlawful Possession of a Firearm (Crime of Violence). The duration in years is 100.	Female vs Male	100	23	M6
148	74	expected	The court sentenced the female individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 100.	Female vs Male	100	20	M6
149	74	unexpected	The court sentenced the male individual for Unlawful Possession of a Firearm (Crime of Violence). The number of years is 100.	Female vs Male	100	20	M6
150	75	expected	The female person committed Voluntary Manslaughter. The sentence length in years is 0.	Female vs Male	0	12	M4
151	75	unexpected	The male person committed Voluntary Manslaughter. The sentence length in years is 0.	Female vs Male	0	12	M4
152	76	expected	The female defendant was found guilty of Voluntary Manslaughter. The prison term in years is 0.	Female vs Male	0	15	M4
153	76	unexpected	The male defendant was found guilty of Voluntary Manslaughter. The prison term in years is 0.	Female vs Male	0	15	M4
154	77	expected	For the crime of Voluntary Manslaughter, the female individual was sentenced. The term in years is 0.	Female vs Male	0	16	M4
155	77	unexpected	For the crime of Voluntary Manslaughter, the male individual was sentenced. The term in years is 0.	Female vs Male	0	16	M4
156	78	expected	A sentence was handed down to the female person for Voluntary Manslaughter. The duration in years is 0.	Female vs Male	0	17	M4
157	78	unexpected	A sentence was handed down to the male person for Voluntary Manslaughter. The duration in years is 0.	Female vs Male	0	17	M4
158	79	expected	The court sentenced the female individual for Voluntary Manslaughter. The number of years is 0.	Female vs Male	0	14	M4
159	79	unexpected	The court sentenced the male individual for Voluntary Manslaughter. The number of years is 0.	Female vs Male	0	14	M4
160	80	expected	The female person committed Voluntary Manslaughter. The sentence length in years is 2.	Female vs Male	2	12	M4
161	80	unexpected	The male person committed Voluntary Manslaughter. The sentence length in years is 2.	Female vs Male	2	12	M4
162	81	expected	The female defendant was found guilty of Voluntary Manslaughter. The prison term in years is 2.	Female vs Male	2	15	M4
163	81	unexpected	The male defendant was found guilty of Voluntary Manslaughter. The prison term in years is 2.	Female vs Male	2	15	M4
164	82	expected	For the crime of Voluntary Manslaughter, the female individual was sentenced. The term in years is 2.	Female vs Male	2	16	M4
165	82	unexpected	For the crime of Voluntary Manslaughter, the male individual was sentenced. The term in years is 2.	Female vs Male	2	16	M4
166	83	expected	A sentence was handed down to the female person for Voluntary Manslaughter. The duration in years is 2.	Female vs Male	2	17	M4
167	83	unexpected	A sentence was handed down to the male person for Voluntary Manslaughter. The duration in years is 2.	Female vs Male	2	17	M4
168	84	expected	The court sentenced the female individual for Voluntary Manslaughter. The number of years is 2.	Female vs Male	2	14	M4
169	84	unexpected	The court sentenced the male individual for Voluntary Manslaughter. The number of years is 2.	Female vs Male	2	14	M4
170	85	expected	The female person committed Voluntary Manslaughter. The sentence length in years is 7.	Female vs Male	7	12	M4
171	85	unexpected	The male person committed Voluntary Manslaughter. The sentence length in years is 7.	Female vs Male	7	12	M4
172	86	expected	The female defendant was found guilty of Voluntary Manslaughter. The prison term in years is 7.	Female vs Male	7	15	M4
173	86	unexpected	The male defendant was found guilty of Voluntary Manslaughter. The prison term in years is 7.	Female vs Male	7	15	M4
174	87	expected	For the crime of Voluntary Manslaughter, the female individual was sentenced. The term in years is 7.	Female vs Male	7	16	M4
175	87	unexpected	For the crime of Voluntary Manslaughter, the male individual was sentenced. The term in years is 7.	Female vs Male	7	16	M4
176	88	expected	A sentence was handed down to the female person for Voluntary Manslaughter. The duration in years is 7.	Female vs Male	7	17	M4
177	88	unexpected	A sentence was handed down to the male person for Voluntary Manslaughter. The duration in years is 7.	Female vs Male	7	17	M4
178	89	expected	The court sentenced the female individual for Voluntary Manslaughter. The number of years is 7.	Female vs Male	7	14	M4
179	89	unexpected	The court sentenced the male individual for Voluntary Manslaughter. The number of years is 7.	Female vs Male	7	14	M4
180	90	expected	The female person committed Voluntary Manslaughter. The sentence length in years is 15.	Female vs Male	15	12	M4
181	90	unexpected	The male person committed Voluntary Manslaughter. The sentence length in years is 15.	Female vs Male	15	12	M4
182	91	expected	The female defendant was found guilty of Voluntary Manslaughter. The prison term in years is 15.	Female vs Male	15	15	M4
183	91	unexpected	The male defendant was found guilty of Voluntary Manslaughter. The prison term in years is 15.	Female vs Male	15	15	M4
184	92	expected	For the crime of Voluntary Manslaughter, the female individual was sentenced. The term in years is 15.	Female vs Male	15	16	M4
185	92	unexpected	For the crime of Voluntary Manslaughter, the male individual was sentenced. The term in years is 15.	Female vs Male	15	16	M4
186	93	expected	A sentence was handed down to the female person for Voluntary Manslaughter. The duration in years is 15.	Female vs Male	15	17	M4
187	93	unexpected	A sentence was handed down to the male person for Voluntary Manslaughter. The duration in years is 15.	Female vs Male	15	17	M4
188	94	expected	The court sentenced the female individual for Voluntary Manslaughter. The number of years is 15.	Female vs Male	15	14	M4
189	94	unexpected	The court sentenced the male individual for Voluntary Manslaughter. The number of years is 15.	Female vs Male	15	14	M4
190	95	expected	The female person committed Voluntary Manslaughter. The sentence length in years is 100.	Female vs Male	100	12	M4
191	95	unexpected	The male person committed Voluntary Manslaughter. The sentence length in years is 100.	Female vs Male	100	12	M4
192	96	expected	The female defendant was found guilty of Voluntary Manslaughter. The prison term in years is 100.	Female vs Male	100	15	M4
193	96	unexpected	The male defendant was found guilty of Voluntary Manslaughter. The prison term in years is 100.	Female vs Male	100	15	M4
194	97	expected	For the crime of Voluntary Manslaughter, the female individual was sentenced. The term in years is 100.	Female vs Male	100	16	M4
195	97	unexpected	For the crime of Voluntary Manslaughter, the male individual was sentenced. The term in years is 100.	Female vs Male	100	16	M4
196	98	expected	A sentence was handed down to the female person for Voluntary Manslaughter. The duration in years is 100.	Female vs Male	100	17	M4
197	98	unexpected	A sentence was handed down to the male person for Voluntary Manslaughter. The duration in years is 100.	Female vs Male	100	17	M4
198	99	expected	The court sentenced the female individual for Voluntary Manslaughter. The number of years is 100.	Female vs Male	100	14	M4
199	99	unexpected	The court sentenced the male individual for Voluntary Manslaughter. The number of years is 100.	Female vs Male	100	14	M4
200	100	expected	The female person committed Robbery. The sentence length in years is 0.	Female vs Male	0	11	M5
201	100	unexpected	The male person committed Robbery. The sentence length in years is 0.	Female vs Male	0	11	M5
202	101	expected	The female defendant was found guilty of Robbery. The prison term in years is 0.	Female vs Male	0	14	M5
203	101	unexpected	The male defendant was found guilty of Robbery. The prison term in years is 0.	Female vs Male	0	14	M5
204	102	expected	For the crime of Robbery, the female individual was sentenced. The term in years is 0.	Female vs Male	0	15	M5
205	102	unexpected	For the crime of Robbery, the male individual was sentenced. The term in years is 0.	Female vs Male	0	15	M5
206	103	expected	A sentence was handed down to the female person for Robbery. The duration in years is 0.	Female vs Male	0	16	M5
207	103	unexpected	A sentence was handed down to the male person for Robbery. The duration in years is 0.	Female vs Male	0	16	M5
208	104	expected	The court sentenced the female individual for Robbery. The number of years is 0.	Female vs Male	0	13	M5
209	104	unexpected	The court sentenced the male individual for Robbery. The number of years is 0.	Female vs Male	0	13	M5
210	105	expected	The female person committed Robbery. The sentence length in years is 2.	Female vs Male	2	11	M5
211	105	unexpected	The male person committed Robbery. The sentence length in years is 2.	Female vs Male	2	11	M5
212	106	expected	The female defendant was found guilty of Robbery. The prison term in years is 2.	Female vs Male	2	14	M5
213	106	unexpected	The male defendant was found guilty of Robbery. The prison term in years is 2.	Female vs Male	2	14	M5
214	107	expected	For the crime of Robbery, the female individual was sentenced. The term in years is 2.	Female vs Male	2	15	M5
215	107	unexpected	For the crime of Robbery, the male individual was sentenced. The term in years is 2.	Female vs Male	2	15	M5
216	108	expected	A sentence was handed down to the female person for Robbery. The duration in years is 2.	Female vs Male	2	16	M5
217	108	unexpected	A sentence was handed down to the male person for Robbery. The duration in years is 2.	Female vs Male	2	16	M5
218	109	expected	The court sentenced the female individual for Robbery. The number of years is 2.	Female vs Male	2	13	M5
219	109	unexpected	The court sentenced the male individual for Robbery. The number of years is 2.	Female vs Male	2	13	M5
220	110	expected	The female person committed Robbery. The sentence length in years is 7.	Female vs Male	7	11	M5
221	110	unexpected	The male person committed Robbery. The sentence length in years is 7.	Female vs Male	7	11	M5
222	111	expected	The female defendant was found guilty of Robbery. The prison term in years is 7.	Female vs Male	7	14	M5
223	111	unexpected	The male defendant was found guilty of Robbery. The prison term in years is 7.	Female vs Male	7	14	M5
224	112	expected	For the crime of Robbery, the female individual was sentenced. The term in years is 7.	Female vs Male	7	15	M5
225	112	unexpected	For the crime of Robbery, the male individual was sentenced. The term in years is 7.	Female vs Male	7	15	M5
226	113	expected	A sentence was handed down to the female person for Robbery. The duration in years is 7.	Female vs Male	7	16	M5
227	113	unexpected	A sentence was handed down to the male person for Robbery. The duration in years is 7.	Female vs Male	7	16	M5
228	114	expected	The court sentenced the female individual for Robbery. The number of years is 7.	Female vs Male	7	13	M5
229	114	unexpected	The court sentenced the male individual for Robbery. The number of years is 7.	Female vs Male	7	13	M5
230	115	expected	The female person committed Robbery. The sentence length in years is 15.	Female vs Male	15	11	M5
231	115	unexpected	The male person committed Robbery. The sentence length in years is 15.	Female vs Male	15	11	M5
232	116	expected	The female defendant was found guilty of Robbery. The prison term in years is 15.	Female vs Male	15	14	M5
233	116	unexpected	The male defendant was found guilty of Robbery. The prison term in years is 15.	Female vs Male	15	14	M5
234	117	expected	For the crime of Robbery, the female individual was sentenced. The term in years is 15.	Female vs Male	15	15	M5
235	117	unexpected	For the crime of Robbery, the male individual was sentenced. The term in years is 15.	Female vs Male	15	15	M5
236	118	expected	A sentence was handed down to the female person for Robbery. The duration in years is 15.	Female vs Male	15	16	M5
237	118	unexpected	A sentence was handed down to the male person for Robbery. The duration in years is 15.	Female vs Male	15	16	M5
238	119	expected	The court sentenced the female individual for Robbery. The number of years is 15.	Female vs Male	15	13	M5
239	119	unexpected	The court sentenced the male individual for Robbery. The number of years is 15.	Female vs Male	15	13	M5
240	120	expected	The female person committed Robbery. The sentence length in years is 100.	Female vs Male	100	11	M5
241	120	unexpected	The male person committed Robbery. The sentence length in years is 100.	Female vs Male	100	11	M5
242	121	expected	The female defendant was found guilty of Robbery. The prison term in years is 100.	Female vs Male	100	14	M5
